DATE,CUMFNS
1993-11-01,81.0919
1993-12-01,81.3961
1994-01-01,81.2877
1994-02-01,81.2123
1994-03-01,82.0455
1994-04-01,82.5274
1994-05-01,82.7575
1994-06-01,82.7267
1994-07-01,82.7502
1994-08-01,83.1817
1994-09-01,83.2289
1994-10-01,83.7014
1994-11-01,84.0795
1994-12-01,84.6547
1995-01-01,84.4884
1995-02-01,83.9542
1995-03-01,83.8528
1995-04-01,83.2465
1995-05-01,83.1990
1995-06-01,83.2360
1995-07-01,82.3027
1995-08-01,82.8816
1995-09-01,83.2325
1995-10-01,82.7373
1995-11-01,82.3838
1995-12-01,82.2404
1996-01-01,81.2806
1996-02-01,82.0093
1996-03-01,81.3713
1996-04-01,81.9246
1996-05-01,82.1216
1996-06-01,82.4326
1996-07-01,82.3406
1996-08-01,82.2621
1996-09-01,82.4699
1996-10-01,81.9437
1996-11-01,82.2046
1996-12-01,82.4533
1997-01-01,82.1160
1997-02-01,82.7870
1997-03-01,83.0975
1997-04-01,82.5449
1997-05-01,82.6350
1997-06-01,82.6473
1997-07-01,82.7415
1997-08-01,83.1904
1997-09-01,83.3769
1997-10-01,83.5276
1997-11-01,83.7316
1997-12-01,83.5645
1998-01-01,83.5819
1998-02-01,83.1026
1998-03-01,82.3591
1998-04-01,82.1570
1998-05-01,81.9965
1998-06-01,80.8345
1998-07-01,79.9783
1998-08-01,81.4302
1998-09-01,80.8757
1998-10-01,81.1189
1998-11-01,80.8023
1998-12-01,80.8622
1999-01-01,80.6633
1999-02-01,80.9673
1999-03-01,80.5770
1999-04-01,80.4941
1999-05-01,80.7718
1999-06-01,80.2416
1999-07-01,80.2257
1999-08-01,80.3953
1999-09-01,79.7252
1999-10-01,80.5652
1999-11-01,80.7755
1999-12-01,81.0017
2000-01-01,80.6921
2000-02-01,80.5744
2000-03-01,80.7582
2000-04-01,80.9312
2000-05-01,80.6177
2000-06-01,80.4245
2000-07-01,80.1622
2000-08-01,79.3212
2000-09-01,79.3734
2000-10-01,78.7800
2000-11-01,78.2526
2000-12-01,77.4991
2001-01-01,76.8566
2001-02-01,76.0528
2001-03-01,75.6189
2001-04-01,75.1069
2001-05-01,74.4525
2001-06-01,73.7968
2001-07-01,73.2683
2001-08-01,72.7848
2001-09-01,72.3628
2001-10-01,71.9334
2001-11-01,71.5627
2001-12-01,71.6190
2002-01-01,72.0066
2002-02-01,71.9245
2002-03-01,72.3814
2002-04-01,72.5524
2002-05-01,72.9047
2002-06-01,73.5908
2002-07-01,73.5122
2002-08-01,73.5582
2002-09-01,73.6085
2002-10-01,73.3744
2002-11-01,73.7399
2002-12-01,73.3231
2003-01-01,73.9185
2003-02-01,73.8291
2003-03-01,73.8873
2003-04-01,73.3360
2003-05-01,73.3888
2003-06-01,73.7415
2003-07-01,74.0033
2003-08-01,73.6588
2003-09-01,74.3085
2003-10-01,74.4125
2003-11-01,75.0766
2003-12-01,75.0773
2004-01-01,75.0453
2004-02-01,75.6410
2004-03-01,75.6409
2004-04-01,75.9312
2004-05-01,76.4782
2004-06-01,75.9873
2004-07-01,76.6518
2004-08-01,76.9968
2004-09-01,76.9689
2004-10-01,77.6234
2004-11-01,77.5478
2004-12-01,78.0484
2005-01-01,78.4482
2005-02-01,79.0052
2005-03-01,78.4924
2005-04-01,78.6730
2005-05-01,78.7630
2005-06-01,78.7307
2005-07-01,78.3094
2005-08-01,78.5676
2005-09-01,77.5532
2005-10-01,78.5006
2005-11-01,79.0464
2005-12-01,78.9670
2006-01-01,79.4688
2006-02-01,79.1225
2006-03-01,78.9917
2006-04-01,79.1542
2006-05-01,78.8190
2006-06-01,78.9018
2006-07-01,78.4877
2006-08-01,78.8919
2006-09-01,78.7728
2006-10-01,78.2476
2006-11-01,78.1473
2006-12-01,79.0925
2007-01-01,78.5915
2007-02-01,78.6638
2007-03-01,79.1104
2007-04-01,79.4082
2007-05-01,79.1602
2007-06-01,79.2208
2007-07-01,79.0303
2007-08-01,78.6415
2007-09-01,78.7211
2007-10-01,78.4604
2007-11-01,78.7854
2007-12-01,78.7714
2008-01-01,78.5552
2008-02-01,77.9861
2008-03-01,77.6187
2008-04-01,76.8793
2008-05-01,76.4946
2008-06-01,76.0507
2008-07-01,75.3342
2008-08-01,74.4648
2008-09-01,72.0119
2008-10-01,71.6209
2008-11-01,69.9253
2008-12-01,67.6736
2009-01-01,65.5800
2009-02-01,65.6011
2009-03-01,64.4737
2009-04-01,64.1132
2009-05-01,63.5172
2009-06-01,63.4473
2009-07-01,64.5112
2009-08-01,65.2886
2009-09-01,66.0212
2009-10-01,66.1366
2009-11-01,66.8948
2009-12-01,66.9058
2010-01-01,67.6868
2010-02-01,67.7386
2010-03-01,68.6986
2010-04-01,69.3742
2010-05-01,70.3791
2010-06-01,70.5003
2010-07-01,70.9804
2010-08-01,71.1944
2010-09-01,71.3510
2010-10-01,71.5089
2010-11-01,71.6931
2010-12-01,72.1278
2011-01-01,72.2542
2011-02-01,72.4549
2011-03-01,72.9692
2011-04-01,72.5987
2011-05-01,72.6375
2011-06-01,72.7072
2011-07-01,73.1489
2011-08-01,73.4550
2011-09-01,73.6247
2011-10-01,73.9574
2011-11-01,73.7676
2011-12-01,74.1549
2012-01-01,74.7151
2012-02-01,74.9392
2012-03-01,74.4441
2012-04-01,74.7242
2012-05-01,74.3813
2012-06-01,74.4802
2012-07-01,74.2667
2012-08-01,74.0854
2012-09-01,73.8426
2012-10-01,73.6365
2012-11-01,74.0419
2012-12-01,74.5018
2013-01-01,74.2593
2013-02-01,74.5358
2013-03-01,74.4464
2013-04-01,74.1755
2013-05-01,74.4059
2013-06-01,74.5096
2013-07-01,73.9330
2013-08-01,74.5793
2013-09-01,74.6605
2013-10-01,74.7833
2013-11-01,74.7810
2013-12-01,74.6975
2014-01-01,73.9341
2014-02-01,74.6762
2014-03-01,75.3656
2014-04-01,75.3932
2014-05-01,75.6665
2014-06-01,75.9803
2014-07-01,76.4417
2014-08-01,76.0493
2014-09-01,76.1321
2014-10-01,76.1164
2014-11-01,76.6991
2014-12-01,76.6368
2015-01-01,76.2847
2015-02-01,75.8026
2015-03-01,76.1484
2015-04-01,76.1946
2015-05-01,76.2557
2015-06-01,76.0277
2015-07-01,76.6485
2015-08-01,76.3717
2015-09-01,76.1840
2015-10-01,76.0986
2015-11-01,75.8541
2015-12-01,75.6150
2016-01-01,75.8996
2016-02-01,75.6042
2016-03-01,75.4987
2016-04-01,75.3293
2016-05-01,75.2270
2016-06-01,75.3438
2016-07-01,75.3854
2016-08-01,75.0756
2016-09-01,75.2014
2016-10-01,75.3130
2016-11-01,75.2485
2016-12-01,75.2433
2017-01-01,75.4438
2017-02-01,75.4804
2017-03-01,75.3240
2017-04-01,76.2481
2017-05-01,76.1982
2017-06-01,76.3003
2017-07-01,76.1684
2017-08-01,76.1058
2017-09-01,76.2253
2017-10-01,77.1537
2017-11-01,77.2455
2017-12-01,77.0966
2018-01-01,76.8770
2018-02-01,77.7092
2018-03-01,77.8221
2018-04-01,78.4073
2018-05-01,77.7710
2018-06-01,78.2528
2018-07-01,78.3740
2018-08-01,78.6386
2018-09-01,78.6325
2018-10-01,78.3303
2018-11-01,78.0254
2018-12-01,78.1436
2019-01-01,77.5453
2019-02-01,77.2425
2019-03-01,77.1824
2019-04-01,76.7432
